id;respid;extrtime;origin;destination;company;depdate;arrdate;duration;flighttype;price;stopover;stopovertime
1;32;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T13:00:00;2016-03-15T21:55:00;8,916666666666666;aller simple;97;1 escale;6h 45min à TLS
1;33;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T11:55:00;2016-03-15T21:55:00;10,0;aller simple;97;1 escale;7h 50min à TLS
1;34;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T21:55:00;2016-03-16T21:55:00;24,0;aller simple;97;1 escale;21h 50min à TLS
1;35;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T10:55:00;2016-03-15T21:55:00;11,0;aller simple;97;1 escale;8h 50min à TLS
1;36;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T09:55:00;2016-03-15T21:55:00;12,0;aller simple;97;1 escale;9h 50min à TLS
1;37;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T09:15:00;2016-03-15T21:55:00;12,666666666666666;aller simple;97;1 escale;10h 30min à TLS
1;38;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T08:45:00;2016-03-15T21:55:00;13,166666666666666;aller simple;97;1 escale;11h 00min à TLS
1;39;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T08:30:00;2016-03-15T21:55:00;13,416666666666666;aller simple;97;1 escale;11h 15min à TLS
1;40;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T06:20:00;2016-03-15T21:55:00;15,583333333333334;aller simple;97;1 escale;13h 25min à TLS
1;41;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T13:20:00;2016-03-16T08:00:00;18,666666666666668;aller simple;97;1 escale;16h 20min à LYS
1;42;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T21:45:00;2016-03-16T18:25:00;20,666666666666668;aller simple;97;1 escale;18h 00min à MRS
1;43;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T10:10:00;2016-03-16T08:00:00;21,833333333333332;aller simple;97;1 escale;19h 30min à LYS
1;44;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T19:20:00;2016-03-16T17:20:00;22,0;aller simple;97;1 escale;19h 40min à LYS
1;45;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T21:45:00;2016-03-16T09:55:00;12,166666666666666;aller simple;97;1 escale;9h 30min à MRS
